scope,group_column,group_value,n,mae_log,rmse_log,r2_log,mae_million_vnd,rmse_million_vnd,median_abs_error_million_vnd
overall,,,101,0.3659492598543329,0.4761526028461371,0.5252919451901918,10.432396755081554,15.149480722478938,7.691513661705272
group,source,itviec,41,0.30121698635848543,0.3631089072292662,0.595987261052733,13.301106394899179,18.81973566637158,9.45700095297789
group,source,topcv,60,0.4101829800764953,0.5399549395093656,0.08340200445918267,8.472111834539513,12.012981110449372,5.884122931954766
group,seniority,intern,4,0.2653560512562354,0.3119782017457075,-0.21424315874486144,2.1308781912357975,2.7682724359066753,1.5578711909742984
group,seniority,junior,21,0.38083598550673464,0.4381355567503664,0.019868901222140467,7.331402641881727,9.156957075141493,6.035946063926557
group,seniority,lead,13,0.2776147729372734,0.3123742883641893,0.8028571321484032,16.125256882984058,25.7849079200891,7.819500904270669
group,seniority,middle,34,0.3571085963804284,0.4606911442908599,-0.27190320286426073,9.759237781044565,12.943489345458833,7.132966368274852
group,seniority,senior,16,0.26383766700783595,0.3301180970739616,0.3931776754209474,12.048296366126177,15.147668063839063,9.748868793223615
group,seniority,Unknown,13,0.6099852574905197,0.7966332583672353,-0.21094079261748777,12.074918317419291,16.119985244615833,11.046198251809633
