week_start,source,skill,job_count
2026-06-08,itviec,Spring Boot,1
2026-06-08,itviec,System Admin,2
2026-06-08,itviec,System Architecture,1
2026-06-08,itviec,TypeScript,1
2026-06-08,topcv,(unknown),1
2026-06-08,topcv,Java,1
2026-06-08,topcv,MySQL,1
2026-06-08,topcv,SQL,1
2026-06-15,itviec,.NET,7
2026-06-15,itviec,AI,14
2026-06-15,itviec,API,1
2026-06-15,itviec,AWS,11
2026-06-15,itviec,Android,1
2026-06-15,itviec,Angular,2
2026-06-15,itviec,Appium,1
2026-06-15,itviec,Automation Test,1
2026-06-15,itviec,Azure,11
2026-06-15,itviec,Bash Shell,1
2026-06-15,itviec,Big Data,1
2026-06-15,itviec,Business Analysis,1
2026-06-15,itviec,Business Intelligence,1
2026-06-15,itviec,C language,1
2026-06-15,itviec,C#,5
2026-06-15,itviec,C++,7
2026-06-15,itviec,CI/CD,1
2026-06-15,itviec,Cloud,4
2026-06-15,itviec,Computer Vision,3
2026-06-15,itviec,Cybersecurity,1
2026-06-15,itviec,Data Analysis,1
2026-06-15,itviec,Data Engineer,4
2026-06-15,itviec,Data Science,2
2026-06-15,itviec,Data Warehousing,1
2026-06-15,itviec,Data modeling,1
2026-06-15,itviec,Database,2
2026-06-15,itviec,Deep Learning,1
2026-06-15,itviec,DevOps,5
2026-06-15,itviec,Docker,11
2026-06-15,itviec,ERP,1
2026-06-15,itviec,ETL,2
2026-06-15,itviec,Embedded,1
2026-06-15,itviec,Embedded Android,1
2026-06-15,itviec,Embedded C,1
2026-06-15,itviec,English,8
2026-06-15,itviec,FastAPI,2
2026-06-15,itviec,Fresher Accepted,2
2026-06-15,itviec,Fullstack,1
2026-06-15,itviec,GCP,9
2026-06-15,itviec,GitLab CI,1
2026-06-15,itviec,Go,4
2026-06-15,itviec,Google BigQuery,1
2026-06-15,itviec,Hardware Troubleshooting,1
2026-06-15,itviec,Internship Accepted,2
2026-06-15,itviec,JSON,1
2026-06-15,itviec,Japanese,2
2026-06-15,itviec,Java,3
2026-06-15,itviec,JavaScript,5
2026-06-15,itviec,Jira,1
2026-06-15,itviec,Kubernetes,4
2026-06-15,itviec,LLM,3
2026-06-15,itviec,Linux,2
2026-06-15,itviec,MLOps,2
2026-06-15,itviec,Machine Learning,8
2026-06-15,itviec,MongoDB,2
2026-06-15,itviec,MySQL,1
2026-06-15,itviec,NLP,3
2026-06-15,itviec,NextJS,2
2026-06-15,itviec,NoSQL,1
2026-06-15,itviec,Node.js,3
2026-06-15,itviec,OOP,2
2026-06-15,itviec,Odoo,1
2026-06-15,itviec,OpenCV,1
2026-06-15,itviec,Playwright,2
2026-06-15,itviec,PostgreSQL,6
2026-06-15,itviec,PyTorch,2
2026-06-15,itviec,Python,34
2026-06-15,itviec,QA,4
2026-06-15,itviec,QA QC,1
2026-06-15,itviec,React,8
2026-06-15,itviec,Redis,1
2026-06-15,itviec,Robot Framework,1
2026-06-15,itviec,SQL,10
2026-06-15,itviec,Security,2
2026-06-15,itviec,Selenium,1
2026-06-15,itviec,Solution Architecture,1
2026-06-15,itviec,System Admin,1
2026-06-15,itviec,Team Management,1
2026-06-15,itviec,TensorFlow,3
2026-06-15,itviec,Tester,2
2026-06-15,itviec,TypeScript,4
2026-06-15,itviec,VMware,1
2026-06-15,itviec,Windows,1
2026-06-15,topcv,(unknown),6
2026-06-15,topcv,.NET,3
2026-06-15,topcv,A/B Testing,1
2026-06-15,topcv,AI,2
2026-06-15,topcv,AI-assisted development tools,1
2026-06-15,topcv,API,1
2026-06-15,topcv,AWS,3
2026-06-15,topcv,Alibaba,1
2026-06-15,topcv,Amazon,1
2026-06-15,topcv,Android,2
2026-06-15,topcv,Android kotlin,1
2026-06-15,topcv,Angular,1
2026-06-15,topcv,AutoCAD,2
2026-06-15,topcv,Azure,3
2026-06-15,topcv,Biết sử dụng SQL để khai thác và phân tích dữ liệu,1
2026-06-15,topcv,Bán Hàng B2b,1
2026-06-15,topcv,C#,2
2026-06-15,topcv,C/C++,1
2026-06-15,topcv,CI/CD,2
2026-06-15,topcv,CSS,1
2026-06-15,topcv,Chăm Sóc Khách Hàng,1
2026-06-15,topcv,Chứng chỉ liên quan của UBCK,1
2026-06-15,topcv,Chứng chỉ tiếng Anh,1
2026-06-15,topcv,Chứng chỉ về network,1
2026-06-15,topcv,Client/Server game,1
2026-06-15,topcv,Cloud Services,1
2026-06-15,topcv,Communication,1
2026-06-15,topcv,Computer Vision,1
2026-06-15,topcv,Confluence,1
2026-06-15,topcv,Css3,1
2026-06-15,topcv,Cài Đặt Phần Cứng Và Phần Mềm,1
2026-06-15,topcv,Các công cụ trực quan hóa dữ liệu (Tableau,1
2026-06-15,topcv,Cẩn thận,1
2026-06-15,topcv,Data crawling systems,1
2026-06-15,topcv,DevOps,1
2026-06-15,topcv,Docker,3
2026-06-15,topcv,ETL pipelines,1
2026-06-15,topcv,Email,1
2026-06-15,topcv,Eplan,1
2026-06-15,topcv,Etsy,1
2026-06-15,topcv,Excel,1
2026-06-15,topcv,Figma,1
2026-06-15,topcv,GCP,3
2026-06-15,topcv,Game PC,1
2026-06-15,topcv,Game online,1
2026-06-15,topcv,Giao thức truyền thông IoT,1
2026-06-15,topcv,Giao tiếp tốt,1
2026-06-15,topcv,Giao tiếp và làm việc với các bên liên quan,1
2026-06-15,topcv,Git,1
2026-06-15,topcv,Go,4
2026-06-15,topcv,Go (golang),1
2026-06-15,topcv,Google Places,1
2026-06-15,topcv,GraphQL APIs,1
2026-06-15,topcv,HTML,1
2026-06-15,topcv,Hiểu Biết Về Quản Lý Dự Án,1
2026-06-15,topcv,Hiểu biết về các thiết bị mạng,1
2026-06-15,topcv,Hiểu biết về thiết bị IT,1
2026-06-15,topcv,Hiểu về ngành Chứng khoán và các nghiệp vụ liên quan đến Giao dịch Chứng khoán,1
2026-06-15,topcv,Html5,1
2026-06-15,topcv,Hỗ trợ kiểm thử và trực quan hóa dữ liệu,1
2026-06-15,topcv,Java,8
2026-06-15,topcv,Java Core,1
2026-06-15,topcv,Java Spring,1
2026-06-15,topcv,JavaScript,5
2026-06-15,topcv,Jetpack Compose,1
2026-06-15,topcv,Khả năng phân tích và xử lý sự cố kỹ thuật,1
2026-06-15,topcv,Kinh Nghiệm Làm Việc Với Nhà Thầu,1
2026-06-15,topcv,Kinh nghiệm các dự án thực tế,1
2026-06-15,topcv,Kinh nghiệm làm việc với chủ đầu tư Bất Động Sản,1
2026-06-15,topcv,Kinh nghiệm làm việc với công ty CNTT,1
2026-06-15,topcv,Kinh nghiệm trong mảng cho vay ký quỹ margin,1
2026-06-15,topcv,Kinh nghiệm với các sản phẩm giáo dục hoặc liên quan giáo dục,1
2026-06-15,topcv,Kiến Thức Về Hệ Điều Hành,1
2026-06-15,topcv,Kiến Thức Về It,1
2026-06-15,topcv,Kiến Thức Về It Telecom,1
2026-06-15,topcv,Kiến thức cơ bản về dữ liệu và truy vấn dữ liệu,1
2026-06-15,topcv,Kiến thức nền tảng về điện – điện tử & tự động hóa,1
2026-06-15,topcv,Kiến thức về các giải pháp CNTT,1
2026-06-15,topcv,Kotlin,2
2026-06-15,topcv,Kubernetes,1
2026-06-15,topcv,Kĩ năng phân tích tổng hợp,1
2026-06-15,topcv,Kết nối & giao tiếp công nghiệp,1
2026-06-15,topcv,Kỹ Năng Xây Dựng Giải Pháp,1
2026-06-15,topcv,Kỹ năng giao tiếp,2
2026-06-15,topcv,Kỹ năng giải quyết vấn đề,1
2026-06-15,topcv,Kỹ năng kiểm thử sản phẩm phần mềm,1
2026-06-15,topcv,Kỹ năng mềm (excel,1
2026-06-15,topcv,Kỹ năng mềm trong môi trường kỹ thuật,1
2026-06-15,topcv,Kỹ năng đàm phán,2
2026-06-15,topcv,Laravel,2
2026-06-15,topcv,Làm Việc Độc Lập Và Nhóm,1
2026-06-15,topcv,Lập Kế Hoạch Kinh Doanh,1
2026-06-15,topcv,Lập Trình Nhúng,1
2026-06-15,topcv,Lập Trình Plc,1
2026-06-15,topcv,Lập trình Lua,1
2026-06-15,topcv,Lập trình PLC / điều khiển cơ bản,1
2026-06-15,topcv,Machine Learning,1
2026-06-15,topcv,Microsoft Excel,1
2026-06-15,topcv,Microsoft Office,1
2026-06-15,topcv,MongoDB,2
2026-06-15,topcv,MySQL,3
