week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-06-08,itviec,CI/CD,1,7.0,7.0,7.0
2026-06-08,itviec,Computer Vision,1,2.0,2.0,2.0
2026-06-08,itviec,Data Engineer,1,7.0,7.0,7.0
2026-06-08,itviec,Database,1,2.0,2.0,2.0
2026-06-08,itviec,Databricks,1,7.0,7.0,7.0
2026-06-08,itviec,DevOps,1,2.0,2.0,2.0
2026-06-08,itviec,Docker,4,2.0,1.0,7.0
2026-06-08,itviec,English,2,5.0,5.0,5.0
2026-06-08,itviec,FastAPI,1,1.0,1.0,1.0
2026-06-08,itviec,Firewall,1,2.0,2.0,2.0
2026-06-08,itviec,GCP,3,2.0,2.0,7.0
2026-06-08,itviec,Git,2,5.0,5.0,5.0
2026-06-08,itviec,Go,1,7.0,7.0,7.0
2026-06-08,itviec,Java,2,2.0,2.0,2.0
2026-06-08,itviec,JavaScript,1,0.0,0.0,0.0
2026-06-08,itviec,Kubernetes,4,2.0,1.0,7.0
2026-06-08,itviec,LLM,1,2.0,2.0,2.0
2026-06-08,itviec,Linux,1,2.0,2.0,2.0
2026-06-08,itviec,MLOps,1,7.0,7.0,7.0
2026-06-08,itviec,Machine Learning,2,2.0,2.0,2.0
2026-06-08,itviec,Microservices,2,5.0,5.0,5.0
2026-06-08,itviec,Networking,1,2.0,2.0,2.0
2026-06-08,itviec,Node.js,1,0.0,0.0,0.0
2026-06-08,itviec,OCR,1,2.0,2.0,2.0
2026-06-08,itviec,PostgreSQL,2,4.0,1.0,7.0
2026-06-08,itviec,PyTorch,1,2.0,2.0,2.0
2026-06-08,itviec,Python,7,2.0,0.0,7.0
2026-06-08,itviec,Redis,3,2.0,1.0,7.0
2026-06-08,itviec,Robotic Process Automation (RPA),1,0.0,0.0,0.0
2026-06-08,itviec,SQL,5,5.0,0.0,7.0
2026-06-08,itviec,Solution Architecture,1,2.0,2.0,2.0
2026-06-08,itviec,Spring,2,2.0,2.0,2.0
2026-06-08,itviec,Spring Boot,2,2.0,2.0,2.0
2026-06-08,itviec,System Admin,2,1.0,0.0,2.0
2026-06-08,itviec,System Architecture,1,7.0,7.0,7.0
2026-06-08,itviec,TypeScript,1,1.0,1.0,1.0
2026-06-08,topcv,(unknown),1,2.0,2.0,2.0
2026-06-08,topcv,Java,1,3.0,3.0,3.0
2026-06-08,topcv,MySQL,1,3.0,3.0,3.0
2026-06-08,topcv,SQL,1,3.0,3.0,3.0
2026-06-15,itviec,.NET,7,3.0,0.0,5.0
2026-06-15,itviec,AI,21,2.0,0.0,5.0
2026-06-15,itviec,API,1,5.0,5.0,5.0
2026-06-15,itviec,AWS,15,4.0,2.0,7.0
2026-06-15,itviec,Android,1,0.0,0.0,0.0
2026-06-15,itviec,Angular,1,5.0,5.0,5.0
2026-06-15,itviec,Appium,1,5.0,5.0,5.0
2026-06-15,itviec,Automation Test,1,2.0,2.0,2.0
2026-06-15,itviec,Azure,12,4.0,2.0,5.0
2026-06-15,itviec,Bash Shell,1,3.0,3.0,3.0
2026-06-15,itviec,Big Data,2,5.0,5.0,5.0
2026-06-15,itviec,Business Analysis,2,2.0,2.0,2.0
2026-06-15,itviec,Business Intelligence,2,5.0,5.0,5.0
2026-06-15,itviec,C language,2,0.0,0.0,0.0
2026-06-15,itviec,C#,5,1.0,0.0,5.0
2026-06-15,itviec,C++,10,0.0,0.0,1.0
2026-06-15,itviec,CI/CD,1,3.0,3.0,3.0
2026-06-15,itviec,Cloud,2,4.0,4.0,4.0
2026-06-15,itviec,Computer Vision,2,1.5,1.0,2.0
2026-06-15,itviec,Cybersecurity,1,0.0,0.0,0.0
2026-06-15,itviec,Data Analysis,2,5.0,5.0,5.0
2026-06-15,itviec,Data Engineer,6,2.0,2.0,5.0
2026-06-15,itviec,Data Science,3,5.0,3.0,5.0
2026-06-15,itviec,Data Warehousing,2,2.0,2.0,2.0
2026-06-15,itviec,Data modeling,2,2.0,2.0,2.0
2026-06-15,itviec,Database,3,0.0,0.0,1.0
2026-06-15,itviec,Deep Learning,1,1.0,1.0,1.0
2026-06-15,itviec,DevOps,4,4.0,2.0,5.0
2026-06-15,itviec,Docker,14,1.0,0.0,7.0
2026-06-15,itviec,ERP,1,2.0,2.0,2.0
2026-06-15,itviec,ETL,4,5.0,5.0,5.0
2026-06-15,itviec,Embedded,1,0.0,0.0,0.0
2026-06-15,itviec,Embedded Android,1,0.0,0.0,0.0
2026-06-15,itviec,Embedded C,1,0.0,0.0,0.0
2026-06-15,itviec,English,5,2.0,0.0,3.0
2026-06-15,itviec,FastAPI,4,0.0,0.0,0.0
2026-06-15,itviec,Fresher Accepted,1,1.0,1.0,1.0
2026-06-15,itviec,Fullstack,2,2.0,2.0,2.0
2026-06-15,itviec,GCP,12,4.0,2.0,5.0
2026-06-15,itviec,GitLab CI,1,5.0,5.0,5.0
2026-06-15,itviec,Go,7,0.0,0.0,3.0
2026-06-15,itviec,Google BigQuery,2,5.0,5.0,5.0
2026-06-15,itviec,Hardware Troubleshooting,1,3.0,3.0,3.0
2026-06-15,itviec,Internship Accepted,3,0.0,0.0,0.0
2026-06-15,itviec,JSON,2,2.0,2.0,2.0
2026-06-15,itviec,Japanese,3,0.0,0.0,0.0
2026-06-15,itviec,Java,5,2.0,0.0,4.0
2026-06-15,itviec,JavaScript,6,1.5,1.0,5.0
2026-06-15,itviec,Kubernetes,7,0.0,0.0,7.0
2026-06-15,itviec,LLM,4,1.5,1.0,3.0
2026-06-15,itviec,Linux,1,3.0,3.0,3.0
