input_file,source,record_count,parse_ok_rate,title_fill_rate,company_fill_rate,location_fill_rate,salary_raw_fill_rate,salary_numeric_fill_rate,experience_fill_rate,skills_fill_rate,description_fill_rate
itviec_20260701_100_clean.jsonl,itviec,100,1.0,1.0,1.0,1.0,1.0,0.27,0.82,1.0,1.0
itviec_sample_50_clean.jsonl,itviec,30,1.0,1.0,1.0,1.0,1.0,0.2667,0.8333,1.0,1.0
itviec_test_2_clean.jsonl,itviec,2,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
topcv_20260702_100_clean.jsonl,topcv,100,1.0,1.0,1.0,1.0,0.95,0.55,0.81,0.77,1.0
topcv_20260702_test_5_clean.jsonl,topcv,5,1.0,1.0,1.0,1.0,1.0,0.4,0.8,0.8,1.0
topdev_20260701_100_clean.jsonl,topdev,100,1.0,1.0,1.0,1.0,1.0,0.0,0.83,1.0,1.0
