week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-05-25,itviec,Tester,USD,2,1100,1100,1100
2026-05-25,itviec,TypeScript,USD,2,1500,1500,1500
2026-05-25,itviec,UI-UX,USD,1,3200,3200,3200
2026-05-25,itviec,Vue,USD,1,2500,2500,2500
2026-05-25,itviec,VueJS,USD,1,1050,1050,1050
2026-05-25,itviec,Web API,USD,1,3200,3200,3200
2026-05-25,itviec,Web3.js,USD,1,1250,1250,1250
2026-05-25,itviec,iOS,USD,1,3200,3200,3200
2026-05-25,itviec,scikit-learn,USD,1,1500,1500,1500
2026-05-25,topcv,AI Vibe-coding,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Bằng tốt nghiệp loại Khá hoặc Giỏi,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Clean code structure,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Component design,VND,1,15000000,15000000,15000000
2026-05-25,topcv,GitHub Copilot,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Kinh nghiệm dự án công nghệ thực tế,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Kỹ Năng Triển Khai Phần Mềm,VND,2,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng giao tiếp,VND,2,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng giải quyết vấn đề,VND,2,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng làm việc nhóm,VND,2,12000000,12000000,12000000
2026-05-25,topcv,Radix UI,VND,1,15000000,15000000,15000000
2026-05-25,topcv,React,VND,1,15000000,15000000,15000000
2026-05-25,topcv,React 18 functional components,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Responsive Design,VND,1,15000000,15000000,15000000
2026-05-25,topcv,Tailwind Css,VND,1,15000000,15000000,15000000
2026-05-25,topcv,TypeScript,VND,1,15000000,15000000,15000000
2026-05-25,topcv,TypeScript strict,VND,1,15000000,15000000,15000000
2026-05-25,topcv,custom hooks,VND,1,15000000,15000000,15000000
2026-06-01,itviec,.NET,USD,3,2500,1400,3300
2026-06-01,itviec,.NET,VND,1,50000000,50000000,50000000
2026-06-01,itviec,.NET,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,AI,USD,8,1325,350,3250
2026-06-01,itviec,API,USD,2,2875,2500,3250
2026-06-01,itviec,API,VND,1,30000000,30000000,30000000
2026-06-01,itviec,ASP.NET,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,AWS,USD,14,2750,1200,7000
